,court_short_name,court_full_name,court_jurisdiction,jurisdiction
607,Juniata County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Juniata County",ST,"Pennsylvania, PA"
608,Lycoming County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lycoming County",ST,"Pennsylvania, PA"
609,Alleghany County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Alleghany County",ST,"Pennsylvania, PA"
610,Berks County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Berks County",ST,"Pennsylvania, PA"
611,Centre County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Centre County",ST,"Pennsylvania, PA"
612,Allegheny County Orphans' Court,"Pennsylvania Orphans' Court, Allegheny County",ST,"Pennsylvania, PA"
613,Cambria County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Cambria County",ST,"Pennsylvania, PA"
614,Westmoreland County Orphans' Court,"Pennsylvania Orphans' Court, Westmoreland County",ST,"Pennsylvania, PA"
615,Northumberland County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Northumberland County",ST,"Pennsylvania, PA"
616,Cumberland County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Cumberland County",ST,"Pennsylvania, PA"
617,Pennsylvania Environmental Hearing Board,Pennsylvania Environmental Hearing Board,SS,"Pennsylvania, PA"
618,Lebanon County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lebanon County",ST,"Pennsylvania, PA"
619,Somerset County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Somerset County",ST,"Pennsylvania, PA"
620,Potter County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Potter County",ST,"Pennsylvania, PA"
621,Fayette County Orphans' Court,"Pennsylvania Orphans' Court, Fayette County",ST,"Pennsylvania, PA"
622,Massachusetts District Court,Massachusetts District Court,SA,"Massachusetts, MA"
623,Suffolk County Court,"New York County Court, Suffolk County",ST,"New York, NY"
624,Supreme Court of Dakota,Supreme Court Of The Territory Of Dakota,S,"USA, Federal"
625,D. Georgia,"District Court, D. Georgia",FD,"Georgia, GA"
626,Hamilton County Court,Hamilton County Court,ST,"Ohio, OH"
627,Court Of Common Pleas Of Ohio,Court Of Common Pleas Of Ohio,ST,"Ohio, OH"
628,Emergency Court of Appeals,Emergency Court of Appeals,FS,"USA, Federal"
629,Essex County Court,"New York County Court, Essex County",ST,"New York, NY"
630,New York Court of Sessions,New York Court of Sessions,ST,"New York, NY"
631,U.S. Circuit Court for the District of Minnesota,U.S. Circuit Court for the District of Minnesota,FA,"Minnesota, MN"
632,U.S. Circuit Court for the District of Eastern Wisconsin,U.S. Circuit Court for the District of Eastern Wisconsin,FA,"Wisconsin, WI"
633,E.D. Washington,"District Court, E.D. Washington",FD,"Washington, WA"
634,W.D. North Carolina,"United States Bankruptcy Court, W.D. North Carolina",FB,"North Carolina, NC"
635,Essex County Court of Quarter Sessions of New Jersey,Essex County Court of Quarter Sessions of New Jersey,ST,"New Jersey, NJ"
636,Mahoning Circuit Court,Mahoning Circuit Court,ST,"Ohio, OH"
637,Erie Circuit Court,Erie Circuit Court,ST,"Pennsylvania, PA"
638,Hamilton Circuit Court,Hamilton Circuit Court,ST,"Indiana, IN"
639,Guernsey Circuit Court,Guernsey Circuit Court,ST,"Indiana, IN"
640,Sandusky Circuit Court,Sandusky Circuit Court,ST,"Michigan, MI"
641,Perry Circuit Court,Perry Circuit Court,ST,"Indiana, IN"
642,Ashtabula Circuit Court,Ashtabula Circuit Court,ST,"Ohio, OH"
643,Columbiana County Court of Common Pleas,Columbiana County Court of Common Pleas,ST,"Ohio, OH"
644,Van Wert County Court of Common Pleas,Van Wert County Court of Common Pleas,ST,"Ohio, OH"
645,Paulding County Court of Common Pleas,Paulding County Court of Common Pleas,ST,"Ohio, OH"
646,Marion County Municipal Court,Marion County Municipal Court,ST,"Ohio, OH"
647,Lorain County Court of Common Pleas,Lorain County Court of Common Pleas,ST,"Ohio, OH"
648,Clark County Probate Court,Clark County Probate Court,ST,"Nevada, NV"
649,Ashland County Court of Common Pleas,Ashland County Court of Common Pleas,ST,"Ohio, OH"
650,Tuscarawas County Probate Court,Tuscarawas County Probate Court,ST,"Ohio, OH"
651,"Coos County Circuit Court, Oregon","Coos County Circuit Court, Oregon",ST,"Oregon, OR"
652,York County Orphans' Court,York County Orphans' Court,ST,"Pennsylvania, PA"
653,Pennsylvania Admiralty Court,Pennsylvania Admiralty Court,SS,"Pennsylvania, PA"
654,Fulton County Court of Quarter Sessions,Fulton County Court of Quarter Sessions,ST,"Georgia, GA"
655,Luzerne County Court of Quarter Sessions,Luzerne County Court of Quarter Sessions,ST,"Pennsylvania, PA"
656,Schuylkill County Court of Quarter Sessions,Schuylkill County Court of Quarter Sessions,ST,"Pennsylvania, PA"
657,York County Court of Quarter Sessions,York County Court of Quarter Sessions,ST,"Pennsylvania, PA"
658,Chester County Court of Quarter Sessions,Chester County Court of Quarter Sessions,ST,"Pennsylvania, PA"
659,"Court of Appeals of Ohio, Eighth District, Cuyahoga County","Court of Appeals of Ohio, Eighth District, Cuyahoga County",ST,"Ohio, OH"
660,"Court of Appeals of Ohio, First District, Hamilton County","Court of Appeals of Ohio, First District, Hamilton County",ST,"Ohio, OH"
661,"Court of Appeals of Ohio, Tenth District, Franklin County","Court of Appeals of Ohio, Tenth District, Franklin County",ST,"Ohio, OH"
662,"Court of Appeals of Ohio, Seventh District, Belmont County","Court of Appeals of Ohio, Seventh District, Belmont County",ST,"Ohio, OH"
663,U.S. Circuit Court for the District of Michigan,U.S. Circuit Court for the District of Michigan,FA,"Michigan, MI"
664,D. Florida,"District Court, D. Florida",FD,"Florida, FL"
665,U.S. Circuit Court for the District of Wisconsin,U.S. Circuit Court for the District of Wisconsin,FA,"Wisconsin, WI"
666,D. Michigan,"District Court, D. Michigan",FD,"Michigan, MI"
667,U S Coast Guard Court of Military Review,U S Coast Guard Court of Military Review,FS,"USA, Federal"
668,Superior Court of The Virgin Islands,Superior Court of The Virgin Islands,TT,"Virgin Islands, VI"
669,Arlington County Circuit Court,Arlington County Circuit Court,ST,"Virginia, VA"
670,Salem County Circuit Court,Salem County Circuit Court,ST,"New Jersey, NJ"
671,Culpeper County Circuit Court,Culpeper County Circuit Court,ST,"Virginia, VA"
672,Lancaster County Circuit Court,Lancaster County Circuit Court,ST,"Nebraska, NE"
673,Newport News County Circuit Court,Newport News County Circuit Court,ST,"Virginia, VA"
674,Canal Zone,"District Court, Canal Zone",FD,"USA, Federal"
675,U.S. Circuit Court for the District of Colorado,U.S. Circuit Court for the District of Colorado,FA,"Colorado, CO"
676,Monmouth County Superior Court,Monmouth County Superior Court,ST,"New Jersey, NJ"
677,Hudson County Superior Court,Hudson County Superior Court,ST,"New Jersey, NJ"
678,U.S. Circuit Court for the District of Western Tennessee,U.S. Circuit Court for the District of Western Tennessee,FA,"Tennessee, TN"
679,U.S. Circuit Court for the District of Ohio,U.S. Circuit Court for the District of Ohio,FA,"Ohio, OH"
680,U.S. Circuit Court for the Southern District of Illnois,U.S. Circuit Court for the Southern District of Illnois,FA,"Illinois, IL"
681,U.S. Circuit Court for the District of Eastern Texas,U.S. Circuit Court for the District of Eastern Texas,FA,"Texas, TX"
682,Special Court under the Regional Rail Reorganization Act,Special Court under the Regional Rail Reorganization Act,FS,"USA, Federal"
683,U.S. Circuit Court for the District of South Dakota,U.S. Circuit Court for the District of South Dakota,FA,"South Dakota, SD"
684,U.S. Circuit Court for the District of Kansas,U.S. Circuit Court for the District of Kansas,FA,"Kansas, KS"
685,U.S. Circuit Court for the District of Northern West Virginia,U.S. Circuit Court for the District of Northern West Virginia,FA,"West Virginia, WV"
686,Commerce Court,Commerce Court,FS,"Wisconsin, WI"
687,Temporary Emergency Court of Appeals,Temporary Emergency Court of Appeals,FS,"USA, Federal"
688,Clinton Circuit Court,Clinton Circuit Court,ST,"Indiana, IN"
689,Hardin Circuit Court,Hardin Circuit Court,ST,"Kentucky, KY"
690,Fulton County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Fulton County",ST,"Pennsylvania, PA"
691,Franklin County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Franklin County",ST,"Pennsylvania, PA"
692,Clinton County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Clinton County",ST,"Pennsylvania, PA"
693,Cherokee Nation Judicial Appeals Tribunal,Cherokee Nation Judicial Appeals Tribunal,TRA,"Oklahoma, OK"
694,Circuit Court of the 36th Circuit of Michigan,Circuit Court of the 36th Circuit of Michigan,ST,"Michigan, MI"
695,Pueblo County District Court,Pueblo County District Court,ST,"Colorado, CO"
696,Hopi Appellate Court,Hopi Appellate Court,TRA,"Arizona, AZ"
697,Mohegan Trial Court,Mohegan Trial Court,TRT,"Connecticut, CT"
698,Carroll Circuit Court,Carroll Circuit Court,ST,"Kentucky, KY"
699,Madison County Circuit Court,Madison County Circuit Court,ST,"Alabama, AL"
700,E.D. California,"United States Bankruptcy Court, E.D. California",FB,"California, CA"
701,M.D. Alabama,"United States Bankruptcy Court, M.D. Alabama",FB,"Alabama, AL"
702,S.D. Illinois,"United States Bankruptcy Court, S.D. Illinois",FB,"Illinois, IL"
703,E.D. Kentucky,"United States Bankruptcy Court, E.D. Kentucky",FB,"Kentucky, KY"
704,N.D. California,"United States Bankruptcy Court, N.D. California",FB,"California, CA"
705,Judicial Discipline of Pennsylvania,Court of Judicial Discipline of Pennsylvania,SS,"Pennsylvania, PA"
706,S.D. West Virginia,"United States Bankruptcy Court, S.D. West Virginia",FB,"West Virginia, WV"
707,Minnesota Attorney General Reports,Minnesota Attorney General Reports,SAG,"Minnesota, MN"
708,Palm Beach County Circuit Court,"Circuit Court of the 15th Judicial Circuit of Florida, Palm Beach County",ST,"Florida, FL"
709,Duval County Circuit Court,"Circuit Court of the 4th Judicial Circuit of Florida, Duval County",ST,"Florida, FL"
710,Leon County Circuit Court,"Circuit Court of the 2nd Judicial Circuit of Florida, Leon County",ST,"Florida, FL"
711,"California Court of Appeal, 4th District","California Court of Appeal, 4th District",SA,"California, CA"
712,Georgia Court of Oyer and Terminer,Georgia Court of Oyer and Terminer,SS,"Georgia, GA"
713,Kings County Court,"New York County Court, Kings County",ST,"New York, NY"
714,Yonkers City Court,Yonkers City Court,ST,"New York, NY"
715,Webster Justice Court,Webster Justice of the Peace Court,ST,"Louisiana, LA"
716,Commission of Appeals,Commission of Appeals,SS,"Texas, TX"
717,Schuyler County Court,"New York County Court, Schuyler County",ST,"New York, NY"
718,Oakfield Justice Court,Oakfield Justice Court,ST,"New York, NY"
719,Arcadia Justice Court,Arcadia Justice Court,ST,"Arizona, AZ"
720,Glens Falls City Court,Glens Falls City Court,ST,"New York, NY"
721,New York Court on the Judiciary,New York Court on the Judiciary,SS,"New York, NY"
722,Indiana County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Indiana County",ST,"Pennsylvania, PA"
723,Clearfield County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Clearfield County",ST,"Pennsylvania, PA"
724,Huntingdon County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Huntingdon County",ST,"Pennsylvania, PA"
725,Lackawanna County Orphans' Court,"Pennsylvania Orphans' Court, Lackawanna County",ST,"Pennsylvania, PA"
726,Delaware County Orphans' Court,"Pennsylvania Orphans' Court, Delaware County",ST,"Pennsylvania, PA"
727,Berks County Orphans' Court,"Pennsylvania Orphans' Court, Berks County",ST,"Pennsylvania, PA"
728,Bradford County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Bradford County",ST,"Pennsylvania, PA"
729,Montgomery County Orphans' Court,"Pennsylvania Orphans' Court, Montgomery County",ST,"Pennsylvania, PA"
730,Columbia County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Columbia County",ST,"Pennsylvania, PA"
731,Chester County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Chester County",ST,"Pennsylvania, PA"
732,Armstrong County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Armstrong County",ST,"Pennsylvania, PA"
733,Blair County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Blair County",ST,"Pennsylvania, PA"
734,Philadelphia Court of Nisi Prius,Philadelphia Court of Nisi Prius,ST,"Pennsylvania, PA"
735,Boston Municipal Court,Boston Municipal Court,ST,"Massachusetts, MA"
736,D. Ohio,"District Court, D. Ohio",FD,"Ohio, OH"
737,Orange County Circuit Court,"Circuit Court of the 9th Judicial Circuit of Florida, Orange County",ST,"Florida, FL"
738,U.S. Circuit Court for the District of Louisiana,U.S. Circuit Court for the District of Louisiana,FA,"Louisiana, LA"
739,U.S. Circuit Court for the District of West Virginia,U.S. Circuit Court for the District of West Virginia,FA,"West Virginia, WV"
740,Bay County Circuit Court,"Circuit Court of the 14th Judicial Circuit of Florida, Bay County",ST,"Florida, FL"
741,S.D. Alabama,"United States Bankruptcy Court, S.D. Alabama",FB,"Alabama, AL"
742,D. Wyoming,"United States Bankruptcy Court, D. Wyoming",FB,"Wyoming, WY"
743,E.D. Washington,"United States Bankruptcy Court, E.D. Washington",FB,"Washington, WA"
744,E.D. Wisconsin,"United States Bankruptcy Court, E.D. Wisconsin",FB,"Wisconsin, WI"
745,Massachusetts House of Representatives,Massachusetts House of Representatives,SS,"Massachusetts, MA"
746,"Hudson County Circuit Court, N.J.","Hudson County Circuit Court, N.J.",SA,"New Jersey, NJ"
747,Cumberland County Family Court,Cumberland County Family Court,ST,"New Jersey, NJ"
748,Fairfield Circuit Court,Fairfield Circuit Court,ST,"Connecticut, CT"
749,Huron Circuit Court,Huron Circuit Court,ST,"Michigan, MI"
750,Summit County Court of Common Pleas,Summit County Court of Common Pleas,ST,"Ohio, OH"
751,Ohio Public Utilities Commission,Ohio Public Utilities Commission,ST,"Ohio, OH"
752,Cincinnati Municipal Court,Cincinnati Municipal Court,ST,"Ohio, OH"
753,South Euclid Municipal Court,South Euclid Municipal Court,ST,"Ohio, OH"
754,Bowling Green County Municipal Court,Bowling Green County Municipal Court,ST,"Kentucky, KY"
755,Medina County Court of Common Pleas,Medina County Court of Common Pleas,ST,"Ohio, OH"
756,Circleville Municipal Court,Circleville Municipal Court,ST,"Ohio, OH"
757,Hamilton County Court of Insolvency,Hamilton County Court of Insolvency,SS,"Ohio, OH"
758,Clark County Court of Common Pleas,Clark County Court of Common Pleas,ST,"Ohio, OH"
759,Tuscarawas County Juvenile Court,Tuscarawas County Juvenile Court,ST,"Ohio, OH"
760,"Multnomah County Circuit Court, Oregon","Multnomah County Circuit Court, Oregon",ST,"Oregon, OR"
761,Fayette County Court of Quarter Sessions,Fayette County Court of Quarter Sessions,ST,"Pennsylvania, PA"
762,Monroe County Court of Quarter Sessions,Monroe County Court of Quarter Sessions,ST,"Pennsylvania, PA"
763,Armstrong County Court of Quarter Sessions,Armstrong County Court of Quarter Sessions,ST,"Pennsylvania, PA"
764,Washington County Court of Quarter Sessions,Washington County Court of Quarter Sessions,ST,"Pennsylvania, PA"
765,Northampton County Court of Quarter Sessions,Northampton County Court of Quarter Sessions,ST,"Pennsylvania, PA"
766,Berks County Court of Quarter Sessions,Berks County Court of Quarter Sessions,ST,"Pennsylvania, PA"
767,Lancaster County Court of Quarter Sessions,Lancaster County Court of Quarter Sessions,ST,"Pennsylvania, PA"
768,Centre County Court of Quarter Sessions,Centre County Court of Quarter Sessions,ST,"Pennsylvania, PA"
769,Wayne County Court of Quarter Sessions,Wayne County Court of Quarter Sessions,ST,"Michigan, MI"
770,Philadelphia County Court of Oyer and Terminer,Philadelphia County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
771,Arizona Tax Court,Arizona Tax Court,SS,"Arizona, AZ"
772,"Court of Appeals of Ohio, Second District, Montgomery County","Court of Appeals of Ohio, Second District, Montgomery County",ST,"Ohio, OH"
773,D. Wisconsin,"District Court, D. Wisconsin",FD,"Wisconsin, WI"
774,U.S. Circuit Court for the District of Illinois,U.S. Circuit Court for the District of Illinois,FA,"Illinois, IL"
775,U.S. Circuit Court for the District of Virginia,U.S. Circuit Court for the District of Virginia,FA,"Virginia, VA"
776,Richmond City Circuit Court,Richmond City Circuit Court,ST,"Virginia, VA"
777,Shenandoah County Circuit Court,Shenandoah County Circuit Court,ST,"Virginia, VA"
778,Winchester County Circuit Court,Winchester County Circuit Court,ST,This court does not appear to exist in the United States.
779,Wise & Norton County Circuit Court,Wise & Norton County Circuit Court,ST,"Virginia, VA"
780,Chesterfield County Circuit Court,Chesterfield County Circuit Court,ST,"Virginia, VA"
